S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Embassy Off.REIT,356.18,35.98,33762.08,5.97,283.41,699.46,981.42,9.62,5.41,Real Estate Investment Trusts
2.,Nexus Select,145.95,39.78,22111.44,,146.36,5061.36,541.77,,8.32,Real Estate Investment Trusts
3.,Mindspace Busine,335.00,36.52,19866.12,,127.10,1460.29,619.40,8.72,6.52,Real Estate Investment Trusts
4.,Brookfield India,267.01,,12816.88,,4.61,-85.90,535.90,77.20,4.80,Real Estate Investment Trusts
,Median: 4 Co.,301.0,36.52,20988.78,5.97,136.73,1079.88,580.59,9.62,5.96,Real Estate Investment Trusts
