S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,GAIL (India),218.95,14.52,143961.81,2.51,2474.31,289.28,32756.32,-1.36,14.64,Gas Distribution
2.,Adani Total Gas,901.15,148.60,99109.33,0.03,167.96,71.55,1166.95,4.68,21.20,Gas Distribution
3.,Petronet LNG,333.00,14.14,49950.00,3.01,737.58,20.08,13793.16,-0.58,26.39,Gas Distribution
4.,Gujarat Gas,634.10,39.70,43650.82,1.03,409.54,-0.32,4134.18,5.23,20.15,Gas Distribution
5.,Indraprastha Gas,519.35,20.79,36354.54,2.50,382.80,16.09,3596.79,-2.31,29.32,Gas Distribution
6.,Guj.St.Petronet,306.50,10.59,17293.12,1.65,663.11,19.46,4532.20,6.14,21.28,Gas Distribution
7.,Mahanagar Gas,1683.00,12.93,16624.31,1.54,264.99,-1.42,1567.05,-2.70,36.60,Gas Distribution
8.,IRM Energy,468.65,22.45,1924.27,0.33,8.98,122.28,214.25,-11.89,15.65,Gas Distribution
,Median: 8 Co.,494.0,17.66,40002.68,1.59,396.17,19.77,3865.49,-0.97,21.24,Gas Distribution
