S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
48.,High Energy Bat.,828.00,41.45,742.20,0.36,4.70,-32.57,19.87,-35.67,27.93,Capital Goods - Electrical Equipment
49.,RMC Switchgears,662.70,41.86,683.13,0.03,6.83,,85.21,,34.83,Capital Goods - Electrical Equipment
50.,Viviana Power,1034.95,95.21,617.86,0.00,3.98,,42.31,,41.47,Capital Goods - Electrical Equipment
,Median: 86 Co.,382.7,67.72,905.8,0.0,5.14,29.22,75.52,16.53,17.06,Capital Goods - Electrical Equipment
51.,Saakshi Medtech,340.00,53.08,600.31,0.00,5.77,,60.57,,26.59,Capital Goods - Electrical Equipment
52.,Taylormade Renew,518.85,54.24,575.55,0.00,2.56,,20.79,,67.14,Capital Goods - Electrical Equipment
53.,GP Eco,394.65,124.93,462.18,0.00,,,,,41.62,Capital Goods - Electrical Equipment
54.,Kaycee Inds.,66900.00,93.87,421.47,0.09,1.57,76.40,13.47,19.73,24.31,Capital Goods - Electrical Equipment
55.,Modison,129.35,24.34,419.75,0.77,6.15,-23.02,113.58,29.91,12.34,Capital Goods - Electrical Equipment
56.,Lak. Electrical,1525.00,26.68,375.16,0.98,2.08,-48.64,61.95,-35.32,7.42,Capital Goods - Electrical Equipment
57.,Akanksha Power,175.00,121.38,324.07,0.00,,,,,,Capital Goods - Electrical Equipment
58.,Amba Enterprises,237.40,48.74,300.58,0.13,1.70,-0.58,77.55,16.30,21.65,Capital Goods - Electrical Equipment
59.,JSL Industries,2370.15,45.16,278.22,0.00,1.65,1550.00,12.65,-6.92,21.28,Capital Goods - Electrical Equipment
60.,Veto Switchgears,142.40,15.21,272.25,0.71,2.23,6.00,79.44,-5.59,12.03,Capital Goods - Electrical Equipment
61.,Star Delta Trans,892.95,24.09,267.90,0.00,2.12,-39.43,38.28,-4.66,23.24,Capital Goods - Electrical Equipment
62.,Jyoti,95.07,27.65,219.54,0.00,6.07,-27.23,62.40,18.52,4.11,Capital Goods - Electrical Equipment
63.,Aartech Solonics,193.35,157.51,204.76,0.26,-0.38,-22.58,9.98,252.65,9.37,Capital Goods - Electrical Equipment
64.,Surana Solar,39.90,129.15,196.34,0.00,-0.15,-160.00,3.93,-49.62,2.59,Capital Goods - Electrical Equipment
65.,RTS Power Corpn.,211.00,46.85,193.48,0.00,0.09,-89.02,48.15,6.06,5.54,Capital Goods - Electrical Equipment
66.,Electro Force,77.90,31.69,182.29,0.00,-1.36,,13.33,,43.11,Capital Goods - Electrical Equipment
67.,S & S Power Swit,271.50,58.25,168.33,0.00,0.98,-24.60,43.10,-7.07,19.53,Capital Goods - Electrical Equipment
68.,Rexnord Electr.,148.60,22.07,165.84,0.00,1.80,69.81,25.32,9.37,14.98,Capital Goods - Electrical Equipment
69.,Kundan Edifice,148.00,50.67,152.03,0.00,-0.31,,42.83,,29.41,Capital Goods - Electrical Equipment
70.,Agni Green,58.45,300.48,114.18,0.00,0.27,,21.01,,5.48,Capital Goods - Electrical Equipment
71.,Power & Instrum.,74.50,15.98,94.12,0.26,2.67,117.07,36.92,-16.83,17.06,Capital Goods - Electrical Equipment
72.,Sungarner Energ.,399.00,88.96,92.52,0.00,0.80,,10.47,,25.91,Capital Goods - Electrical Equipment
73.,Dhanashree Elect,64.50,23.41,91.52,0.00,1.80,97.80,29.73,146.93,12.51,Capital Goods - Electrical Equipment
74.,Alfa Transformer,91.46,10.96,83.69,0.00,0.12,-40.00,11.35,56.77,11.50,Capital Goods - Electrical Equipment
75.,Advance Meter.,42.13,,67.66,0.00,-2.87,16.57,2.79,-40.89,-0.96,Capital Goods - Electrical Equipment
,Median: 86 Co.,382.7,67.72,905.8,0.0,5.14,29.22,75.52,16.53,17.06,Capital Goods - Electrical Equipment
