S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,KPI Green Energy,1786.00,66.48,10766.46,0.06,43.04,34.43,289.36,58.64,21.63,Power Infrastructure
2.,Oriana Power Ltd,2655.00,93.93,5092.99,0.00,48.55,,318.82,,79.39,Power Infrastructure
3.,Anzen IYEP Trust,100.93,,1594.69,,-8.89,0.34,62.26,-0.62,1.33,Power Infrastructure
,Median: 3 Co.,1786.0,80.21,5092.99,0.03,43.04,17.39,289.36,29.01,21.63,Power Infrastructure
