S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
59.,Adhbhut Infra.,32.40,40.96,35.64,0.00,0.07,-82.05,0.40,-69.70,,Construction
60.,Yaan Enterprises,98.79,62.51,30.63,0.00,0.25,525.00,1.91,66.09,16.57,Construction
61.,Narendra Prop.,42.80,13.53,30.43,2.34,-3.53,-161.71,3.48,-68.98,8.16,Construction
62.,Kamanwala Housin,16.50,,23.24,0.00,-2.11,74.52,0.00,-100.00,-3.29,Construction
63.,SVS Ventures,10.73,286.31,22.91,0.00,0.09,,0.22,,0.39,Construction
64.,Yogi Infra Proj.,13.01,19.93,21.92,0.00,1.60,8200.00,146.03,,1.97,Construction
65.,R J Shah & Co,598.90,4.49,16.78,0.42,3.36,808.11,0.00,-100.00,13.22,Construction
66.,Kretto Syscon,1.05,65.86,16.47,0.00,0.17,88.89,0.00,,1.99,Construction
67.,Vishvprabha Ven.,93.00,,15.95,0.00,-0.20,-150.00,0.73,247.62,4.20,Construction
68.,Shricon Indus.,118.75,,14.73,0.00,0.19,-86.03,0.24,,-1.36,Construction
69.,Avishkar Infra,47.58,,11.42,0.00,-0.29,8.82,0.00,,,Construction
70.,VKJ Infradevelop,0.46,547.50,10.95,0.00,0.00,,0.00,,0.07,Construction
71.,Setubandhan Inf.,0.87,,10.93,0.00,-0.47,-161.04,0.00,-100.00,0.39,Construction
72.,Neo Infracon,17.55,,9.32,0.00,-0.05,-110.42,0.99,-77.45,2.44,Construction
73.,Ashram Online,7.29,,8.75,0.00,0.13,168.42,0.08,-11.11,0.24,Construction
74.,Jet Infraventure,20.20,141.14,8.47,0.00,0.04,,0.19,,1.43,Construction
75.,Janus Corporatio,6.16,22.30,8.25,0.00,0.20,,29.86,,3.50,Construction
,Median: 90 Co.,54.78,33.08,118.44,0.0,0.21,-11.73,11.98,-11.11,4.2,Construction
76.,Jainco Projects,6.75,,6.75,0.00,0.06,500.00,0.14,-33.33,0.00,Construction
77.,Purohit Const.,14.30,,6.30,0.00,-0.09,-190.00,0.00,-100.00,-19.43,Construction
78.,Ishaan Infrastru,8.50,,5.50,0.00,-0.02,0.00,0.00,,-1.28,Construction
79.,Epsom Properties,7.08,,5.28,0.00,-0.14,-16.67,0.00,,-428.57,Construction
80.,Athena Construc.,6.99,,5.25,0.00,-0.35,,0.00,,1.72,Construction
81.,Mahesh Developer,11.40,,4.73,0.00,0.03,-88.00,0.00,,3.01,Construction
82.,Jyothi Infra.,26.47,,4.10,0.00,-1.88,,0.00,,-109.57,Construction
83.,Abhishek Infra.,7.13,,3.60,0.00,-0.07,-123.33,0.00,-100.00,-4.86,Construction
84.,Richa Industries,1.53,,3.58,0.00,-98.89,-1103.36,29.66,-31.07,-16.82,Construction
85.,CMM Infraproj,2.15,16.04,3.37,0.00,0.03,,75.87,,,Construction
86.,Rajeswari Infra.,5.79,,3.20,0.00,-0.08,61.90,0.00,-100.00,,Construction
87.,SBL Infratech,36.10,29.30,2.93,0.00,0.22,,0.34,,2.83,Construction
88.,Bronze Infra,1.38,2.56,2.38,0.00,-0.07,-800.00,-0.88,-466.67,14.82,Construction
89.,Silveroak Comm,3.55,,0.98,0.00,-0.14,84.62,0.00,-100.00,-77.32,Construction
90.,Dugar Housing,12.26,,0.37,0.00,-0.01,-110.00,0.00,,,Construction
,Median: 90 Co.,54.78,33.08,118.44,0.0,0.21,-11.73,11.98,-11.11,4.2,Construction
