S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Interglobe Aviat,4309.80,20.41,166349.56,0.00,1893.89,106.75,17825.27,25.88,26.62,Air Transport Service
2.,SpiceJet,52.12,,4135.25,0.00,-449.43,46.11,1428.83,-26.89,-36.58,Air Transport Service
3.,TAAL Enterprises,2890.00,24.23,900.64,0.78,10.01,47.64,46.49,4.54,34.44,Air Transport Service
4.,Jet Airways,41.59,,472.47,0.00,-50.65,87.02,37.57,199.84,,Air Transport Service
5.,Global Vectra,212.10,245.42,296.94,0.00,6.03,-39.40,150.50,36.03,7.33,Air Transport Service
,Median: 5 Co.,212.1,24.23,900.64,0.0,6.03,47.64,150.5,25.88,16.98,Air Transport Service
