S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Reliance Industr,3127.75,30.36,2116176.89,0.29,21243.00,-1.34,236533.00,11.13,10.02,Refineries
2.,I O C L,170.00,5.74,240061.09,7.06,5487.92,-49.96,198649.76,-2.56,21.24,Refineries
3.,B P C L,304.60,4.85,132150.83,3.47,4789.57,-36.39,116554.73,-1.32,32.09,Refineries
4.,H P C L,330.50,4.40,70324.56,8.05,2709.31,-24.91,114677.63,6.13,21.30,Refineries
5.,M R P L,218.05,10.61,38215.47,0.45,1138.50,-40.22,25328.67,-0.14,25.18,Refineries
6.,C P C L,968.00,5.33,14414.64,2.79,612.38,-39.02,17720.18,-1.60,34.64,Refineries
7.,Gandhar Oil Ref.,218.20,15.20,2135.54,0.00,12.11,-58.81,939.24,-4.81,21.70,Refineries
8.,Resgen,84.98,27.13,178.24,0.00,3.96,,30.41,,18.85,Refineries
,Median: 8 Co.,261.4,8.18,54270.01,1.62,1923.9,-39.02,70003.15,-1.32,21.5,Refineries
