S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,CRISIL,4323.00,48.61,31611.43,1.25,137.72,-5.51,737.68,3.19,41.36,Credit Rating Agencies
2.,ICRA,5865.60,37.58,5661.02,1.70,47.06,22.15,123.96,13.64,21.38,Credit Rating Agencies
3.,CARE Ratings,1081.55,32.15,3231.37,1.67,24.55,22.86,90.15,16.31,20.59,Credit Rating Agencies
,Median: 3 Co.,4323.0,37.58,5661.02,1.67,47.06,22.15,123.96,13.64,21.38,Credit Rating Agencies
