S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
56.,Iris Clothings,67.09,44.80,547.30,0.00,3.49,56.50,42.12,12.05,19.79,Textiles
57.,DCM Nouvelle,273.40,,510.68,0.00,4.72,252.24,264.38,11.75,3.44,Textiles
58.,Super Sales Ind.,1617.00,27.23,496.40,0.44,-1.95,-137.36,100.16,3.74,5.37,Textiles
59.,Swaraj Suiting,314.25,26.36,479.90,0.00,12.71,,176.72,,20.92,Textiles
60.,Orbit Exports,179.00,13.91,473.76,0.00,5.63,3.11,44.33,6.08,18.46,Textiles
61.,Vishal Fabrics,23.60,22.09,466.31,0.00,6.52,-38.89,411.51,9.20,9.25,Textiles
62.,Shree Karni,656.50,31.57,464.28,0.00,13.36,,76.07,,,Textiles
63.,Raghuvir Synth,117.90,96.38,456.86,0.00,3.49,39.04,63.41,67.13,14.48,Textiles
64.,Vardhman Acrylic,56.40,25.84,453.24,4.43,5.29,34.95,68.38,-15.16,8.84,Textiles
65.,Lakshmi Mills,6150.00,,428.04,0.14,-1.80,10.33,67.54,50.62,-1.22,Textiles
66.,Bella Casa Fashi,343.70,38.74,394.39,0.26,3.07,122.46,61.07,50.53,14.34,Textiles
67.,Karnika Industri,293.80,36.07,364.31,0.00,5.59,,62.93,,26.20,Textiles
68.,Pasupati Acrylon,39.21,26.53,349.45,0.00,12.51,23.37,176.77,-0.80,6.09,Textiles
69.,Lorenzini Appar.,21.72,64.21,340.33,0.00,0.32,-40.74,9.97,-3.58,22.71,Textiles
70.,Indian Terrain,76.72,,339.82,0.00,0.03,100.94,114.16,-9.35,3.54,Textiles
71.,Manomay Tex Indi,185.50,25.75,334.81,0.00,4.05,-16.15,184.67,9.79,10.08,Textiles
72.,VIP Clothing,39.10,,322.99,0.00,-7.40,-473.74,32.38,-37.28,-3.15,Textiles
73.,Bannari Amm Spg.,47.96,,310.98,0.00,-10.76,-9.70,248.25,-24.42,1.89,Textiles
74.,Maral Overseas,74.23,,308.12,0.00,5.88,775.86,259.77,-4.30,4.55,Textiles
75.,Bhilwara Tech,51.00,23.11,297.72,0.00,3.10,235.37,4.12,214.50,8.35,Textiles
,Median: 267 Co.,53.51,27.44,94.22,0.0,0.57,10.33,37.93,1.05,6.64,Textiles
76.,Loyal Textile,612.75,,295.35,0.00,-8.64,-411.91,200.76,-39.16,-0.68,Textiles
77.,Sh. Dinesh Mills,526.00,30.17,294.59,1.88,1.79,-34.19,27.19,12.63,6.98,Textiles
78.,Ginni Filaments,33.30,,285.21,0.00,-50.82,-30.85,97.82,24.64,2.02,Textiles
79.,VTM,69.99,15.41,281.58,1.07,3.52,24.82,63.77,19.85,9.45,Textiles
80.,Vardhman Polytex,9.70,,264.74,0.00,0.95,103.34,73.69,-54.83,,Textiles
81.,Lagnam Spintex,146.10,17.72,258.16,0.00,7.30,380.26,149.65,65.60,9.43,Textiles
82.,T T,119.00,55.24,255.86,0.00,6.23,297.15,51.39,-11.84,7.90,Textiles
83.,AB Cotspin,246.00,37.79,253.19,0.00,4.72,,144.75,,12.65,Textiles
