S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Mazagon Dock,5121.00,53.29,103285.43,0.33,662.97,103.25,3103.65,49.32,44.14,Ship Building
2.,Knowledge Marine,1395.00,45.64,1506.74,0.00,8.58,,56.70,,29.18,Ship Building
3.,VMS Industries,43.45,16.80,106.32,0.00,1.38,-15.85,91.64,237.78,11.66,Ship Building
4.,Hariyana Ship,119.00,22.74,73.44,0.00,0.04,-98.92,0.72,-95.33,3.96,Ship Building
5.,Laxmipati Engg,70.35,51.86,40.45,0.00,0.65,,22.84,,12.39,Ship Building
6.,Inducto Steel,62.85,157.89,25.27,0.00,-0.17,-156.67,20.73,40.83,7.27,Ship Building
7.,Garware Marine,14.22,,8.20,0.00,-0.07,-16.67,0.15,-21.05,-0.74,Ship Building
,Median: 7 Co.,70.35,48.75,73.44,0.0,0.65,-16.67,22.84,40.83,11.66,Ship Building
