S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
55.,Paisalo Digital,74.15,37.29,6658.99,0.07,36.61,54.60,195.29,65.51,14.06,Finance
56.,Edelweiss.Fin.,65.56,14.73,6187.95,2.29,203.08,13.26,2967.30,-1.50,11.50,Finance
57.,Kirloskar Indus.,6082.35,28.32,6043.97,0.18,70.73,73.61,1728.60,9.81,10.68,Finance
58.,Sundaram Fin.Hol,269.05,11.21,5975.70,2.86,269.32,173.09,217.62,523.91,5.85,Finance
59.,Pilani Invest.,5179.55,34.45,5734.92,0.29,31.44,-58.12,63.27,16.89,2.01,Finance
60.,MAS FINANC SER,296.30,21.42,5376.44,0.40,70.10,23.28,345.75,24.15,11.66,Finance
61.,Spandana Sphoort,743.35,11.31,5300.45,0.00,122.20,5.15,637.41,34.10,14.14,Finance
62.,Fusion Microfin.,460.00,9.15,4629.04,0.00,132.69,15.87,645.99,28.97,14.14,Finance
63.,Fedbank Financi.,124.50,18.87,4616.31,0.00,67.66,35.40,407.58,20.61,10.48,Finance
64.,Muthoot Microfin,242.75,9.21,4138.73,0.00,119.76,26.65,646.81,45.73,14.97,Finance
65.,Indostar Capital,259.00,30.46,3524.45,0.00,35.26,-53.58,474.37,66.35,8.35,Finance
66.,Repco Home Fin,557.45,8.88,3487.49,0.48,108.07,31.63,392.58,15.36,10.53,Finance
67.,Dhani Services,57.17,,3448.70,0.00,-85.01,56.64,117.56,39.47,-5.33,Finance
68.,PTC India Fin,48.73,19.44,3129.95,2.03,13.85,-61.96,176.46,-8.92,8.92,Finance
69.,Kalyani Invest.,6643.35,50.75,2903.18,0.00,22.94,722.22,22.61,306.65,1.07,Finance
70.,BF Investment,681.00,5.91,2564.64,0.00,250.24,119.34,12.93,149.61,10.63,Finance
71.,Ugro Capital,272.75,21.21,2533.73,0.00,32.69,132.83,322.41,54.29,12.16,Finance
72.,Abans Holdings,492.50,30.21,2469.69,0.00,21.17,-7.19,252.32,-55.91,9.20,Finance
73.,Satin Creditcare,221.40,5.58,2445.83,0.00,128.22,30.04,642.11,49.61,16.65,Finance
74.,Rane Holdings,1707.50,13.70,2438.32,1.48,38.41,207.33,870.19,-7.19,13.00,Finance
75.,PNB Gilts,131.85,35.44,2373.43,0.00,68.13,722.73,473.88,52.70,6.81,Finance
,Median: 527 Co.,44.3,24.84,59.92,0.0,0.31,35.62,2.21,28.73,6.49,Finance
76.,Dolat Algotech,133.90,15.02,2356.64,0.19,68.05,893.43,87.78,969.18,27.11,Finance
77.,Nalwa Sons Invst,4538.95,41.45,2333.07,0.00,1.75,-70.02,10.92,13.99,0.73,Finance
78.,Arman Financial,2105.95,12.71,2206.79,0.00,50.82,40.39,182.85,22.46,21.89,Finance
79.,SG Finserve,394.00,27.57,2166.20,0.00,23.80,69.40,58.55,112.60,12.18,Finance
80.,Summit Securitie,1925.00,27.72,2098.28,0.00,14.40,184.02,19.66,163.54,1.39,Finance
81.,Balmer Law. Inv.,870.00,11.53,1931.41,3.79,75.15,67.79,579.28,-5.09,17.83,Finance
82.,Tour. Fin. Corp.,204.35,20.79,1892.18,1.18,20.40,-18.04,57.62,-4.03,10.49,Finance
83.,Mufin Green,121.60,113.60,1869.40,0.00,4.05,67.67,32.21,139.12,10.48,Finance
84.,GKW,2944.05,126.90,1757.60,0.00,-3.88,-2040.00,7.85,184.42,0.84,Finance
85.,Master Trust,794.00,15.99,1727.17,0.00,37.87,127.45,164.14,80.27,32.87,Finance
86.,Systematix Corp.,1330.00,32.33,1726.38,0.00,23.19,4241.07,52.83,242.38,48.35,Finance
87.,Centrum Capital,39.27,,1633.77,0.00,39.41,107.76,654.84,66.05,9.21,Finance
88.,Max India Ltd,321.95,,1389.89,0.00,-21.57,-416.51,45.04,-20.07,-7.92,Finance
89.,GIC Housing Fin,253.15,8.98,1363.23,1.81,53.59,2.49,260.03,-7.52,8.59,Finance
90.,Vardhman Hold.,4144.00,7.17,1321.93,0.12,25.58,29.33,0.07,101.29,6.07,Finance
91.,Dhunseri Vent.,365.20,8.41,1278.94,1.38,24.04,-63.40,263.51,88.15,6.59,Finance
92.,Eraaya Lifespace,800.00,3558.42,1209.84,0.00,0.00,-100.00,15.45,7625.00,7.00,Finance
93.,Crest Ventures,418.75,19.21,1191.31,0.24,11.76,-3.84,39.79,31.75,8.41,Finance
94.,Indl.& Prud.Inv.,6502.00,22.03,1089.62,0.93,12.12,-10.22,0.58,-10.77,7.23,Finance
95.,CSL Finance,469.25,16.87,1069.08,0.52,18.57,56.05,46.65,38.88,14.68,Finance
96.,VLS Finance,301.50,3.25,1049.15,0.50,74.06,570.82,98.08,755.61,14.09,Finance
97.,IM+ Capitals,864.95,11.18,1031.17,0.00,12.23,-13.15,139.62,151.30,26.35,Finance
98.,Sastasundar Ven.,322.00,175.10,1024.30,0.00,21.58,147.86,306.67,-2.07,5.67,Finance
99.,The Invest.Trust,190.50,53.65,995.19,0.00,4.58,-72.99,86.49,10.32,6.60,Finance
100.,Algoquant Fin,1196.00,98.07,961.12,0.00,4.76,178.16,21.28,7500.00,22.11,Finance
,Median: 527 Co.,44.3,24.84,59.92,0.0,0.31,35.62,2.21,28.73,6.49,Finance
101.,Oswal Green Tech,37.11,149.60,952.99,4.03,3.34,-38.03,25.45,397.07,0.45,Finance
102.,Jindal Poly Inve,892.05,3.16,937.57,0.00,98.49,-38.62,13.78,-98.48,11.82,Finance
103.,Saraswati Commer,9100.90,9.03,937.32,0.00,22.37,228.49,30.06,269.93,21.84,Finance
104.,Moneyboxx Fin.,304.95,101.95,931.91,0.00,4.12,880.95,42.30,127.42,11.46,Finance
105.,Jindal Photo,896.50,3.44,919.80,0.00,96.15,85.22,18.98,143.96,12.15,Finance
106.,Hampton Sky,32.37,66.02,887.64,0.00,20.23,275.16,83.54,490.39,15.45,Finance
107.,MKVentures Cap.,2290.00,41.75,880.15,0.04,5.87,13.32,8.41,-19.68,20.57,Finance
108.,GFL,79.50,,873.31,0.00,-20.49,62.74,0.80,0.00,-0.31,Finance
109.,STEL Holdings,460.65,64.06,850.36,0.00,9.96,3.11,13.48,2.20,1.53,Finance
110.,Dhunseri Invest.,1389.20,17.33,847.03,0.18,-3.90,-123.97,278.37,96.56,4.89,Finance
111.,Capital India,101.05,,785.50,0.10,-3.80,67.52,164.52,2.99,5.93,Finance
112.,Prime Securities,225.00,40.69,754.80,0.44,1.65,-51.90,12.82,5.78,16.54,Finance
113.,Finkurve Fin.,57.00,45.00,723.09,0.00,4.89,116.37,23.35,35.05,11.22,Finance
114.,A.K.Capital Serv,1089.90,7.85,719.34,1.47,30.21,22.05,146.73,26.20,9.46,Finance
115.,Worth Investment,46.50,372.70,689.54,0.00,-0.58,-1550.00,1.42,89.33,6.85,Finance
116.,SIL Investments,614.00,22.14,650.85,0.40,2.02,-85.96,5.61,-72.08,2.07,Finance
117.,Niyogin Fintech,67.76,,644.73,0.00,-3.81,15.20,50.18,48.77,-6.83,Finance
118.,Cons. Finvest,196.96,13.71,637.47,0.00,16.32,-94.63,6.06,-98.50,6.56,Finance
119.,NBI Indl. Fin.,2489.25,77.72,611.57,0.02,3.63,31.52,5.74,22.13,0.46,Finance
120.,Naperol Invest.,1056.05,,606.90,0.09,-0.55,-358.33,0.29,3.57,-0.08,Finance
121.,Gretex Corporate,525.00,20.78,604.56,0.09,18.13,-5.96,83.24,1077.37,59.89,Finance
122.,TruCap Finance,48.63,48.55,568.44,0.02,5.85,446.73,41.19,26.16,11.64,Finance
123.,Nahar Capital,320.45,45.58,536.45,0.47,8.87,-43.36,6.27,17.86,1.25,Finance
124.,Shriram AMC,405.50,,527.82,0.00,-2.40,-152.63,2.00,40.85,-7.25,Finance
125.,SRG Housing,396.55,25.01,527.43,0.00,6.09,45.69,36.15,37.82,13.51,Finance
,Median: 527 Co.,44.3,24.84,59.92,0.0,0.31,35.62,2.21,28.73,6.49,Finance
126.,Muthoot Cap.Serv,317.55,10.18,522.30,0.00,11.68,-55.01,97.98,-14.84,10.15,Finance
127.,Kiran Vyapar,185.05,9.79,504.87,0.55,5.20,400.58,24.21,17.35,4.10,Finance
128.,Mangalam Industr,4.44,2536.75,481.98,0.00,-0.09,98.16,0.72,94.59,0.91,Finance
129.,Akme Fintrade,112.25,30.39,479.02,0.00,5.61,,21.22,,12.72,Finance
130.,U. Y. Fincorp,25.11,7.36,477.69,0.00,4.71,488.75,39.21,179.47,29.48,Finance
131.,Bombay Oxygen,29963.00,7.77,449.46,0.07,8.69,502.31,12.66,295.67,17.66,Finance
132.,Shalibhadra Fin.,629.00,36.79,440.31,0.16,3.31,40.85,9.52,21.27,15.83,Finance
133.,Indl. Inv. Trust,192.30,9.10,433.59,0.00,26.65,471.25,17.73,9750.00,14.38,Finance
134.,Shardul Sec.,246.50,4.42,431.38,0.00,16.12,443.71,53.54,1316.82,28.96,Finance
135.,Star Housing Fin,50.56,44.83,398.03,0.10,2.74,4.58,16.33,40.78,10.90,Finance
136.,IL&FS Inv.Manag.,12.56,39.01,394.37,5.65,4.94,98.37,13.18,-24.73,6.80,Finance
137.,Quest Capital,385.00,19.12,385.00,0.66,17.31,4.85,22.28,6.35,3.14,Finance
138.,Aryaman Fin.Serv,326.05,21.57,380.90,0.00,1.28,144.65,6.27,-49.92,25.79,Finance
139.,Sakthi Finance,57.50,23.68,372.05,1.22,4.19,21.45,54.16,10.51,10.26,Finance
140.,Vaarad Ventures,14.71,,367.61,0.00,-0.08,-60.00,0.00,,-1.03,Finance
141.,Apollo Finvest,945.00,44.03,352.66,0.00,0.76,-67.24,6.94,-1.14,16.04,Finance
142.,Naga Dhunseri,3485.00,10.29,348.51,0.07,-0.31,-111.11,3.36,16700.00,4.71,Finance
143.,Jhaveri Credits,376.50,210.13,338.32,0.00,0.35,-62.37,4.91,-56.63,5.54,Finance
144.,Purple Finance,99.54,,334.61,0.00,0.56,119.79,1.43,60.67,,Finance
145.,India Finsec,130.30,26.70,324.99,0.00,3.31,215.24,16.70,22.61,14.09,Finance
146.,Capital Trade Lk,53.10,33.38,323.80,0.00,1.42,178.43,7.65,43.80,15.14,Finance
147.,Prime Industries,197.75,28.83,312.46,0.00,-0.20,-124.10,1.21,-81.06,53.48,Finance
148.,Smartlink Hold.,300.05,42.39,299.28,0.00,8.68,401.73,78.77,57.60,4.98,Finance
149.,Avonmore Capital,12.80,14.91,298.97,0.00,5.89,-64.73,48.21,73.35,6.28,Finance
150.,Welspun Investme,807.00,105.95,294.55,0.00,-0.06,-102.39,0.10,-97.08,1.15,Finance
,Median: 527 Co.,44.3,24.84,59.92,0.0,0.31,35.62,2.21,28.73,6.49,Finance
