S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
51.,Pecos Hotels,213.00,24.05,27.90,1.41,0.47,,4.98,,33.26,Hotels & Restaurants
52.,H. S. India,16.87,20.44,27.40,0.00,0.39,33.33,6.70,9.30,6.90,Hotels & Restaurants
53.,Reliable Ventur.,21.30,,23.43,0.00,-0.17,58.54,1.06,16.48,-5.58,Hotels & Restaurants
54.,Velan Hotels,6.85,,21.89,0.00,-0.37,66.96,0.00,,-1.93,Hotels & Restaurants
55.,Howard Hotels,24.00,23.01,21.86,0.00,0.02,-95.92,4.63,37.80,10.27,Hotels & Restaurants
56.,Polo Hotels,8.45,,18.91,0.00,-0.22,50.00,0.00,-100.00,-0.60,Hotels & Restaurants
57.,Cindrella Hotels,51.39,28.02,18.50,1.95,-0.06,85.71,2.13,-3.62,2.76,Hotels & Restaurants
58.,Ras Resorts,39.60,87.35,15.72,0.00,0.51,54.55,3.91,5.39,3.40,Hotels & Restaurants
59.,Sterling Green,32.00,,13.57,0.00,-0.35,-174.47,0.16,-88.65,-5.64,Hotels & Restaurants
60.,Lords Ishwar,18.15,27.68,13.56,0.00,0.25,377.78,2.31,14.93,5.56,Hotels & Restaurants
61.,Blu.Coast Hotel.,9.70,,12.37,0.00,-3.53,-26.07,0.00,,,Hotels & Restaurants
62.,Mac Hotels,38.50,36.09,11.55,0.00,1.25,,3.42,,20.41,Hotels & Restaurants
63.,Univa Foods,7.61,,10.90,0.00,-0.01,-133.33,0.00,-100.00,-355.00,Hotels & Restaurants
64.,Silver Pearl,9.50,74.60,7.46,0.00,0.20,,0.78,,0.82,Hotels & Restaurants
,Median: 64 Co.,116.67,39.19,259.69,0.0,2.19,40.35,21.21,12.45,9.88,Hotels & Restaurants
