S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
1.,Dolphin Offshore,684.00,685.80,2736.30,0.00,1.46,135.89,1.95,,-0.19,Oil Drill/Allied
2.,Jindal Drilling,630.30,35.71,1826.59,0.08,-15.00,-247.35,197.92,91.65,6.40,Oil Drill/Allied
3.,Aakash Explor.,16.31,26.61,165.11,0.00,3.51,231.13,30.89,56.72,13.27,Oil Drill/Allied
4.,Duke Offshore,20.87,16.59,20.57,0.00,0.54,165.06,1.31,92.65,5.81,Oil Drill/Allied
,Median: 4 Co.,325.58,31.16,995.85,0.0,1.0,150.47,16.42,91.65,6.11,Oil Drill/Allied
